rang_ville;domaine_chruth;code_departement;libelle_commune;nb_prospects;nb_societes;nb_chaude;score_moyen;categories_principales
1002;PUBLIC;77;TIGEAUX;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1003;PUBLIC;77;TRILBARDOU;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1004;PUBLIC;77;URY;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1005;PUBLIC;77;VILLEROY;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1006;PUBLIC;78;ANDELU;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1007;PUBLIC;78;AUFFREVILLE-BRASSEUIL;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1008;PUBLIC;78;AUTOUILLET;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1009;PUBLIC;78;BOISSY-SANS-AVOIR;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1010;PUBLIC;78;BRUEIL-EN-VEXIN;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1011;PUBLIC;78;DAMMARTIN-EN-SERVE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1012;PUBLIC;78;HARGEVILLE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1013;PUBLIC;78;JAMBVILLE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1014;PUBLIC;78;PRUNAY-LE-TEMPLE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1015;PUBLIC;78;SAINT-HILARION;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1016;PUBLIC;78;SENLISSE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1017;PUBLIC;78;TESSANCOURT-SUR-AUBETTE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1018;PUBLIC;91;COURANCES;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1019;PUBLIC;91;COURSON-MONTELOUP;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1020;PUBLIC;91;MONDEVILLE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1021;PUBLIC;91;ORMOY-LA-RIVIERE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1022;PUBLIC;91;PECQUEUSE;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
1023;PUBLIC;91;SAINT-YON;2;1;0;42.5;PUB_MAIRIE, PUB_ECOLE
